transaction_id,customer_id,Card Type,Card Type2,Card Limit,card_id,purchase_date,purchase_amount,merchant_category,Payment_status,Applied_but_rejected,Rejection_reason
33,763,Gold,Gold,100000,3,08-08-2023,29166,Fuel,Paid,N,
34,409,Gold,Gold,100000,3,12-03-2023,43981,Fuel,Paid,N,
35,506,NA,NA,,,,,,,Y,Low Salary
36,774,NA,NA,,,,,,,Y,Low Salary
37,882,Gold,Gold,100000,3,23-03-2023,3081,Electronics,Paid,N,
38,611,Gold,Gold,100000,3,02-11-2023,10082,Electronics,Paid,N,
39,542,Gold,Gold,100000,3,06-01-2023,8918,Groceries,Paid,N,
40,699,Platinum,Platinum,300000,4,24-06-2023,28591,Groceries,Paid,N,
41,301,NA,NA,,,,,,,Y,Unstable Employment
42,162,NA,NA,,,,,,,Y,Unstable Employment
43,4,Gold,Gold,100000,3,02-04-2023,29613,Fuel,Paid,N,
44,109,NA,NA,,,,,,,Y,High Debt
45,862,NA,NA,,,,,,,Y,Low CIBIL
46,157,Gold,Gold,100000,3,04-10-2023,19327,Fuel,Paid,N,
47,1,NA,NA,,,,,,,Y,High Debt
48,501,NA,NA,,,,,,,Y,Low Salary
49,115,NA,NA,,,,,,,Y,High Debt
50,900,Silver,Silver,50000,2,04-05-2023,14919,Fuel,Paid,N,
51,81,Silver,Silver,50000,2,05-02-2023,12314,Fuel,Paid,N,
52,785,NA,NA,,,,,,,Y,Low CIBIL
53,132,NA,NA,,,,,,,Y,Unstable Employment
54,563,Silver,Silver,50000,2,07-11-2023,34304,Electronics,Paid,N,
55,217,NA,NA,,,,,,,Y,Low CIBIL
56,731,Platinum,Platinum,300000,4,10-12-2023,10524,Dining,Paid,N,
57,449,Gold,Gold,100000,3,26-04-2023,44200,Groceries,Paid,N,
58,347,Gold,Gold,100000,3,28-04-2023,7935,Fuel,Paid,N,
59,226,Gold,Gold,100000,3,20-11-2023,2048,Groceries,Paid,N,
60,235,Gold,Gold,100000,3,19-06-2023,5565,Groceries,Paid,N,
61,527,Silver,Silver,50000,2,06-09-2023,23380,Travel,Paid,N,
62,553,Gold,Gold,100000,3,20-10-2023,3907,Fuel,Paid,N,
63,485,NA,NA,,,,,,,Y,Low CIBIL
64,804,NA,NA,,,,,,,Y,Unstable Employment
65,827,Gold,Gold,100000,3,19-02-2023,33907,Electronics,Paid,N,
66,363,NA,NA,,,,,,,Y,Unstable Employment
67,421,NA,NA,,,,,,,Y,Unstable Employment
68,885,NA,NA,,,,,,,Y,Low Salary
69,690,Silver,Silver,50000,2,23-06-2023,33440,Groceries,Paid,N,
70,255,NA,NA,,,,,,,Y,Low CIBIL
71,195,NA,NA,,,,,,,Y,Unstable Employment
72,144,Platinum,Platinum,300000,4,25-08-2023,6166,Travel,Paid,N,
73,896,Silver,Silver,50000,2,09-10-2023,37622,Groceries,Paid,N,
74,52,Silver,Silver,50000,2,02-05-2023,25592,Travel,Paid,N,
75,417,NA,NA,,,,,,,Y,Unstable Employment
76,493,Silver,Silver,50000,2,31-01-2023,10609,Travel,Paid,N,
77,389,NA,NA,,,,,,,Y,Low Salary
78,400,NA,NA,,,,,,,Y,High Debt
79,803,Gold,Gold,100000,3,23-12-2023,36154,Fuel,Paid,N,
80,678,Platinum,Platinum,300000,4,01-06-2023,35432,Travel,Paid,N,
81,60,Gold,Gold,100000,3,30-01-2023,27005,Groceries,Paid,N,
82,599,NA,NA,,,,,,,Y,Unstable Employment
83,515,NA,NA,,,,,,,Y,Low CIBIL
84,59,NA,NA,,,,,,,Y,Low Salary
85,872,NA,NA,,,,,,,Y,Low CIBIL
86,71,NA,NA,,,,,,,Y,Low Salary
87,692,card_type,card_type,credit_limit,1,19-10-2023,37213,Travel,Paid,N,
88,593,NA,NA,,,,,,,Y,Low Salary
89,635,NA,NA,,,,,,,Y,Low Salary
90,430,NA,NA,,,,,,,Y,High Debt
91,268,Gold,Gold,100000,3,10-06-2023,43669,Travel,Paid,N,
92,272,Gold,Gold,100000,3,27-11-2023,8246,Dining,Paid,N,
93,469,Gold,Gold,100000,3,07-02-2023,12475,Groceries,Paid,N,
94,470,Gold,Gold,100000,3,20-04-2023,41022,Fuel,Paid,N,
95,272,Silver,Silver,50000,2,05-02-2023,16096,Travel,Paid,N,
96,379,NA,NA,,,,,,,Y,High Debt
97,162,NA,NA,,,,,,,Y,Unstable Employment
98,854,Silver,Silver,50000,2,01-12-2023,38453,Fuel,Paid,N,
99,9,NA,NA,,,,,,,Y,High Debt
100,680,NA,NA,,,,,,,Y,Low Salary
101,900,card_type,card_type,credit_limit,1,24-02-2023,34361,Fuel,Paid,N,
102,160,Gold,Gold,100000,3,18-04-2023,4380,Dining,Paid,N,
103,209,NA,NA,,,,,,,Y,High Debt
104,518,NA,NA,,,,,,,Y,Unstable Employment
105,258,NA,NA,,,,,,,Y,Low Salary
106,95,Gold,Gold,100000,3,23-01-2023,43954,Groceries,Paid,N,
107,342,Gold,Gold,100000,3,15-05-2023,44039,Travel,Paid,N,
108,760,Gold,Gold,100000,3,07-08-2023,43948,Fuel,Paid,N,
109,10,Gold,Gold,100000,3,20-12-2023,3285,Travel,Paid,N,
110,559,card_type,card_type,credit_limit,1,26-10-2023,22949,Fuel,Paid,N,
111,152,NA,NA,,,,,,,Y,Unstable Employment
112,131,Gold,Gold,100000,3,21-01-2023,15299,Dining,Paid,N,
113,216,Silver,Silver,50000,2,01-07-2023,49548,Fuel,Paid,N,
114,896,Gold,Gold,100000,3,21-03-2023,39807,Travel,Paid,N,
115,886,NA,NA,,,,,,,Y,Low CIBIL
116,820,Silver,Silver,50000,2,13-01-2023,49284,Travel,Paid,N,
117,755,Gold,Gold,100000,3,30-07-2023,47998,Travel,Paid,N,
118,274,Silver,Silver,50000,2,25-02-2023,43833,Electronics,Paid,N,
119,894,NA,NA,,,,,,,Y,Low Salary
120,880,Gold,Gold,100000,3,24-08-2023,41328,Dining,Paid,N,
121,313,NA,NA,,,,,,,Y,Low CIBIL
122,229,card_type,card_type,credit_limit,1,24-07-2023,4490,Dining,Paid,N,
123,286,Silver,Silver,50000,2,23-05-2023,19573,Dining,Paid,N,
124,657,Platinum,Platinum,300000,4,02-10-2023,37363,Dining,Paid,N,
125,29,Silver,Silver,50000,2,14-05-2023,15049,Travel,Paid,N,
126,595,Gold,Gold,100000,3,02-11-2023,18759,Electronics,Default,N,
127,354,NA,NA,,,,,,,Y,High Debt
128,447,card_type,card_type,credit_limit,1,23-10-2023,20290,Travel,Paid,N,
129,261,Gold,Gold,100000,3,01-01-2023,10479,Fuel,Paid,N,
130,826,Silver,Silver,50000,2,05-02-2023,20816,Dining,Paid,N,
131,639,Gold,Gold,100000,3,05-03-2023,26683,Dining,Paid,N,
132,520,Gold,Gold,100000,3,17-06-2023,28824,Electronics,Paid,N,
133,714,Platinum,Platinum,300000,4,09-04-2023,25124,Electronics,Paid,N,
134,681,NA,NA,,,,,,,Y,Unstable Employment
135,694,Gold,Gold,100000,3,04-06-2023,38676,Electronics,Paid,N,
136,562,NA,NA,,,,,,,Y,Low Salary
137,312,Gold,Gold,100000,3,24-10-2023,20745,Fuel,Paid,N,
138,671,Silver,Silver,50000,2,15-08-2023,47205,Travel,Paid,N,
139,524,Gold,Gold,100000,3,28-03-2023,24290,Groceries,Paid,N,
140,291,NA,NA,,,,,,,Y,High Debt
141,96,Silver,Silver,50000,2,26-04-2023,27256,Travel,Paid,N,
142,151,Gold,Gold,100000,3,01-09-2023,3333,Fuel,Paid,N,
143,871,NA,NA,,,,,,,Y,Low Salary
144,467,NA,NA,,,,,,,Y,Unstable Employment
145,645,Gold,Gold,100000,3,16-07-2023,5785,Electronics,Paid,N,
146,410,Silver,Silver,50000,2,19-12-2023,10089,Groceries,Paid,N,
147,769,card_type,card_type,credit_limit,1,23-04-2023,47976,Travel,Paid,N,
148,824,Gold,Gold,100000,3,08-05-2023,14616,Groceries,Paid,N,
149,468,Gold,Gold,100000,3,08-12-2023,8145,Fuel,Paid,N,
150,573,NA,NA,,,,,,,Y,High Debt
151,774,NA,NA,,,,,,,Y,Unstable Employment
152,628,Gold,Gold,100000,3,08-10-2023,45286,Electronics,Paid,N,
153,163,Gold,Gold,100000,3,07-05-2023,29650,Dining,Paid,N,
154,785,NA,NA,,,,,,,Y,Unstable Employment
155,642,NA,NA,,,,,,,Y,Low CIBIL
156,282,Gold,Gold,100000,3,27-05-2023,11389,Travel,Paid,N,
157,279,NA,NA,,,,,,,Y,High Debt
158,328,Silver,Silver,50000,2,29-04-2023,30786,Electronics,Paid,N,
159,711,NA,NA,,,,,,,Y,Low CIBIL
160,724,Gold,Gold,100000,3,28-07-2023,38045,Dining,Paid,N,
161,556,NA,NA,,,,,,,Y,Unstable Employment
162,426,Silver,Silver,50000,2,04-08-2023,16494,Electronics,Paid,N,
163,789,Silver,Silver,50000,2,22-10-2023,36003,Electronics,Paid,N,
164,489,Gold,Gold,100000,3,02-06-2023,46879,Electronics,Paid,N,
165,874,NA,NA,,,,,,,Y,Unstable Employment
166,552,card_type,card_type,credit_limit,1,20-05-2023,25162,Electronics,Paid,N,
167,498,card_type,card_type,credit_limit,1,09-12-2023,39636,Electronics,Paid,N,
168,742,NA,NA,,,,,,,Y,Low CIBIL
169,861,NA,NA,,,,,,,Y,Unstable Employment
170,131,Gold,Gold,100000,3,31-10-2023,27139,Fuel,Paid,N,
171,679,Gold,Gold,100000,3,08-08-2023,17705,Travel,Paid,N,
172,888,NA,NA,,,,,,,Y,Unstable Employment
173,187,NA,NA,,,,,,,Y,Low Salary
174,267,NA,NA,,,,,,,Y,Unstable Employment
175,336,Silver,Silver,50000,2,22-06-2023,33430,Electronics,Paid,N,
176,285,Gold,Gold,100000,3,11-02-2023,8277,Electronics,Paid,N,
177,20,NA,NA,,,,,,,Y,Low Salary
178,359,NA,NA,,,,,,,Y,Low CIBIL
179,666,Silver,Silver,50000,2,30-11-2023,28815,Groceries,Paid,N,
180,773,NA,NA,,,,,,,Y,Low Salary
181,254,NA,NA,,,,,,,Y,Low CIBIL
182,860,Gold,Gold,100000,3,03-05-2023,48117,Travel,Paid,N,
183,485,NA,NA,,,,,,,Y,Low Salary
184,578,Silver,Silver,50000,2,12-05-2023,27473,Dining,Paid,N,
185,172,Silver,Silver,50000,2,25-03-2023,18816,Dining,Paid,N,
186,111,NA,NA,,,,,,,Y,Low Salary
187,320,Silver,Silver,50000,2,12-04-2023,27804,Groceries,Paid,N,
188,607,Silver,Silver,50000,2,04-06-2023,36803,Fuel,Paid,N,
189,825,Silver,Silver,50000,2,17-10-2023,31022,Groceries,Paid,N,
190,356,Platinum,Platinum,300000,4,05-02-2023,22840,Fuel,Paid,N,
191,664,NA,NA,,,,,,,Y,High Debt
192,13,NA,NA,,,,,,,Y,Unstable Employment
193,843,NA,NA,,,,,,,Y,Unstable Employment
194,109,NA,NA,,,,,,,Y,Unstable Employment
195,371,NA,NA,,,,,,,Y,Unstable Employment
196,725,NA,NA,,,,,,,Y,Low CIBIL
197,446,card_type,card_type,credit_limit,1,30-11-2023,20330,Dining,Paid,N,
198,631,Gold,Gold,100000,3,31-10-2023,13903,Dining,Paid,N,
199,331,Silver,Silver,50000,2,14-02-2023,15016,Dining,Paid,N,
200,462,NA,NA,,,,,,,Y,Low CIBIL
201,769,Silver,Silver,50000,2,09-12-2023,19591,Electronics,Paid,N,
202,345,Silver,Silver,50000,2,16-06-2023,8459,Travel,Paid,N,
203,500,NA,NA,,,,,,,Y,Low CIBIL
204,364,Gold,Gold,100000,3,02-11-2023,32432,Dining,Paid,N,
205,570,Silver,Silver,50000,2,08-04-2023,31054,Groceries,Paid,N,
206,248,Silver,Silver,50000,2,04-05-2023,37201,Electronics,Paid,N,
207,662,NA,NA,,,,,,,Y,Unstable Employment
208,459,Gold,Gold,100000,3,24-04-2023,3885,Electronics,Paid,N,
209,709,Gold,Gold,100000,3,25-10-2023,34190,Dining,Paid,N,
210,485,NA,NA,,,,,,,Y,High Debt
211,436,NA,NA,,,,,,,Y,High Debt
212,361,Gold,Gold,100000,3,09-05-2023,10867,Travel,Paid,N,
213,124,Silver,Silver,50000,2,02-10-2023,47005,Travel,Paid,N,
214,197,Silver,Silver,50000,2,22-05-2023,33832,Fuel,Paid,N,
215,779,NA,NA,,,,,,,Y,High Debt
216,103,Gold,Gold,100000,3,04-07-2023,20142,Travel,Paid,N,
217,310,NA,NA,,,,,,,Y,Low Salary
218,726,Silver,Silver,50000,2,28-01-2023,11289,Fuel,Paid,N,
219,300,Silver,Silver,50000,2,09-09-2023,35768,Groceries,Paid,N,
220,894,NA,NA,,,,,,,Y,Low Salary
221,588,Gold,Gold,100000,3,14-08-2023,21450,Dining,Paid,N,
222,189,NA,NA,,,,,,,Y,Low Salary
223,259,Platinum,Platinum,300000,4,03-02-2023,26063,Electronics,Paid,N,
224,504,Silver,Silver,50000,2,18-12-2023,40149,Groceries,Paid,N,
225,156,NA,NA,,,,,,,Y,Low CIBIL
226,831,NA,NA,,,,,,,Y,High Debt
227,88,Silver,Silver,50000,2,02-08-2023,36904,Fuel,Paid,N,
228,611,Gold,Gold,100000,3,14-07-2023,33491,Electronics,Paid,N,
229,454,NA,NA,,,,,,,Y,High Debt
230,881,NA,NA,,,,,,,Y,Unstable Employment
231,313,NA,NA,,,,,,,Y,Low Salary
232,625,Silver,Silver,50000,2,17-04-2023,39565,Travel,Paid,N,
233,271,NA,NA,,,,,,,Y,Low Salary
234,161,Silver,Silver,50000,2,08-02-2023,48163,Travel,Paid,N,
235,3,NA,NA,,,,,,,Y,Unstable Employment
236,462,NA,NA,,,,,,,Y,Unstable Employment
237,299,Gold,Gold,100000,3,28-12-2023,850,Dining,Paid,N,
238,720,Silver,Silver,50000,2,30-04-2023,18812,Dining,Default,N,
239,807,Silver,Silver,50000,2,06-10-2023,24627,Travel,Paid,N,
240,664,NA,NA,,,,,,,Y,Low CIBIL
241,273,Gold,Gold,100000,3,26-03-2023,29353,Dining,Paid,N,
242,610,NA,NA,,,,,,,Y,High Debt
243,450,Gold,Gold,100000,3,05-06-2023,38000,Electronics,Paid,N,
244,279,NA,NA,,,,,,,Y,Unstable Employment
245,449,Silver,Silver,50000,2,10-08-2023,34285,Dining,Paid,N,
246,619,NA,NA,,,,,,,Y,High Debt
247,27,Silver,Silver,50000,2,12-12-2023,19110,Fuel,Paid,N,
248,602,NA,NA,,,,,,,Y,Low Salary
249,784,NA,NA,,,,,,,Y,High Debt
250,591,NA,NA,,,,,,,Y,Low Salary
251,782,Silver,Silver,50000,2,30-11-2023,24090,Electronics,Paid,N,
252,285,Silver,Silver,50000,2,12-08-2023,29943,Electronics,Paid,N,
253,94,NA,NA,,,,,,,Y,Unstable Employment
254,357,Platinum,Platinum,300000,4,10-12-2023,48497,Groceries,Paid,N,
255,879,Silver,Silver,50000,2,22-12-2023,7670,Electronics,Paid,N,
256,296,Gold,Gold,100000,3,09-10-2023,13803,Groceries,Paid,N,
257,466,NA,NA,,,,,,,Y,Low Salary
258,323,NA,NA,,,,,,,Y,High Debt
259,332,Silver,Silver,50000,2,26-07-2023,6707,Fuel,Paid,N,
260,845,NA,NA,,,,,,,Y,Low Salary
261,674,NA,NA,,,,,,,Y,Unstable Employment
262,424,NA,NA,,,,,,,Y,Low Salary
263,193,NA,NA,,,,,,,Y,High Debt
264,638,NA,NA,,,,,,,Y,Unstable Employment
265,641,Silver,Silver,50000,2,15-04-2023,12816,Dining,Paid,N,
266,563,Silver,Silver,50000,2,13-08-2023,35687,Electronics,Paid,N,
267,125,Gold,Gold,100000,3,08-11-2023,6740,Travel,Paid,N,
268,727,card_type,card_type,credit_limit,1,08-01-2023,2393,Fuel,Paid,N,
269,418,NA,NA,,,,,,,Y,Low Salary
270,231,NA,NA,,,,,,,Y,Low Salary
271,473,NA,NA,,,,,,,Y,Low Salary
272,664,NA,NA,,,,,,,Y,Low CIBIL
273,511,Gold,Gold,100000,3,20-05-2023,14253,Electronics,Paid,N,
274,855,NA,NA,,,,,,,Y,Unstable Employment
275,484,Silver,Silver,50000,2,16-03-2023,38590,Electronics,Paid,N,
276,196,NA,NA,,,,,,,Y,Low CIBIL
277,885,NA,NA,,,,,,,Y,Low Salary
278,283,NA,NA,,,,,,,Y,Unstable Employment
279,349,NA,NA,,,,,,,Y,High Debt
280,841,Gold,Gold,100000,3,02-06-2023,11732,Fuel,Paid,N,
281,594,NA,NA,,,,,,,Y,Unstable Employment
282,887,Silver,Silver,50000,2,05-09-2023,18009,Dining,Paid,N,
283,341,NA,NA,,,,,,,Y,Unstable Employment
284,467,NA,NA,,,,,,,Y,High Debt
285,891,Silver,Silver,50000,2,03-05-2023,3617,Fuel,Paid,N,
286,393,NA,NA,,,,,,,Y,Low CIBIL
287,877,Silver,Silver,50000,2,31-08-2023,37429,Electronics,Default,N,
288,396,Silver,Silver,50000,2,19-01-2023,48791,Travel,Paid,N,
289,515,NA,NA,,,,,,,Y,High Debt
290,891,Silver,Silver,50000,2,14-08-2023,4542,Groceries,Paid,N,
291,539,Silver,Silver,50000,2,15-03-2023,37701,Electronics,Default,N,
292,892,NA,NA,,,,,,,Y,Low CIBIL
293,77,Platinum,Platinum,300000,4,16-05-2023,27246,Dining,Paid,N,
294,639,Gold,Gold,100000,3,18-06-2023,14516,Fuel,Paid,N,
295,390,NA,NA,,,,,,,Y,High Debt
296,642,NA,NA,,,,,,,Y,Unstable Employment
297,894,NA,NA,,,,,,,Y,Low Salary
298,633,Silver,Silver,50000,2,17-12-2023,25522,Dining,Paid,N,
299,233,NA,NA,,,,,,,Y,Low Salary
300,445,Gold,Gold,100000,3,27-12-2023,35926,Groceries,Paid,N,
301,455,Silver,Silver,50000,2,15-01-2023,28438,Groceries,Paid,N,
302,333,NA,NA,,,,,,,Y,Low Salary
303,301,NA,NA,,,,,,,Y,High Debt
304,384,Platinum,Platinum,300000,4,29-09-2023,44178,Electronics,Paid,N,
305,580,NA,NA,,,,,,,Y,Low CIBIL
306,175,NA,NA,,,,,,,Y,Low CIBIL
307,81,Gold,Gold,100000,3,04-05-2023,36212,Electronics,Paid,N,
308,598,NA,NA,,,,,,,Y,Low CIBIL
309,238,NA,NA,,,,,,,Y,Unstable Employment
310,654,Silver,Silver,50000,2,08-12-2023,40478,Groceries,Paid,N,
311,824,Gold,Gold,100000,3,13-12-2023,9287,Fuel,Paid,N,
312,162,NA,NA,,,,,,,Y,Low Salary
313,453,NA,NA,,,,,,,Y,High Debt
314,602,NA,NA,,,,,,,Y,High Debt
315,655,NA,NA,,,,,,,Y,Unstable Employment
316,707,Silver,Silver,50000,2,04-06-2023,2486,Travel,Paid,N,
317,394,Platinum,Platinum,300000,4,15-07-2023,11442,Fuel,Paid,N,
318,368,NA,NA,,,,,,,Y,High Debt
319,717,NA,NA,,,,,,,Y,High Debt
320,23,Platinum,Platinum,300000,4,17-10-2023,17958,Groceries,Paid,N,
321,621,Gold,Gold,100000,3,27-05-2023,12661,Travel,Paid,N,
322,622,NA,NA,,,,,,,Y,High Debt
323,225,NA,NA,,,,,,,Y,Low CIBIL
324,636,Gold,Gold,100000,3,04-12-2023,21189,Travel,Paid,N,
325,644,NA,NA,,,,,,,Y,Low Salary
326,643,Gold,Gold,100000,3,14-08-2023,29663,Groceries,Paid,N,
327,594,NA,NA,,,,,,,Y,High Debt
328,750,NA,NA,,,,,,,Y,Low CIBIL
329,93,NA,NA,,,,,,,Y,High Debt
330,335,Gold,Gold,100000,3,09-03-2023,36275,Fuel,Paid,N,
331,898,Platinum,Platinum,300000,4,20-05-2023,34237,Travel,Paid,N,
332,264,NA,NA,,,,,,,Y,Unstable Employment
333,826,Gold,Gold,100000,3,23-06-2023,9272,Groceries,Paid,N,
334,480,Silver,Silver,50000,2,26-04-2023,36092,Electronics,Paid,N,
335,867,Gold,Gold,100000,3,22-07-2023,1711,Groceries,Paid,N,
336,271,NA,NA,,,,,,,Y,Low Salary
337,466,NA,NA,,,,,,,Y,High Debt
338,689,NA,NA,,,,,,,Y,High Debt
339,599,NA,NA,,,,,,,Y,Unstable Employment
340,843,NA,NA,,,,,,,Y,High Debt
341,111,NA,NA,,,,,,,Y,Low CIBIL
342,483,Gold,Gold,100000,3,15-10-2023,729,Dining,Paid,N,
343,625,Silver,Silver,50000,2,22-11-2023,49042,Electronics,Paid,N,
344,718,Platinum,Platinum,300000,4,01-03-2023,14845,Travel,Paid,N,
345,47,NA,NA,,,,,,,Y,Low Salary
346,312,Gold,Gold,100000,3,01-05-2023,36453,Fuel,Paid,N,
347,139,Platinum,Platinum,300000,4,10-12-2023,32319,Fuel,Paid,N,
348,430,NA,NA,,,,,,,Y,Low CIBIL
349,425,NA,NA,,,,,,,Y,Low Salary
350,854,Silver,Silver,50000,2,24-05-2023,48279,Groceries,Paid,N,
351,707,Silver,Silver,50000,2,16-08-2023,17385,Travel,Paid,N,
352,876,Gold,Gold,100000,3,18-12-2023,27208,Dining,Paid,N,
353,558,NA,NA,,,,,,,Y,High Debt
354,63,NA,NA,,,,,,,Y,Unstable Employment
355,283,NA,NA,,,,,,,Y,Low CIBIL
356,126,Platinum,Platinum,300000,4,19-04-2023,548,Fuel,Paid,N,
357,22,card_type,card_type,credit_limit,1,05-05-2023,20450,Travel,Paid,N,
358,806,NA,NA,,,,,,,Y,Low CIBIL
359,71,NA,NA,,,,,,,Y,Low CIBIL
360,601,Gold,Gold,100000,3,30-04-2023,15673,Dining,Paid,N,
361,793,NA,NA,,,,,,,Y,Low CIBIL
362,808,NA,NA,,,,,,,Y,Low Salary
363,284,NA,NA,,,,,,,Y,Low CIBIL
364,134,NA,NA,,,,,,,Y,High Debt
365,818,NA,NA,,,,,,,Y,Low CIBIL
366,113,NA,NA,,,,,,,Y,Low Salary
367,135,NA,NA,,,,,,,Y,Low Salary
368,367,Gold,Gold,100000,3,09-01-2023,34237,Travel,Paid,N,
369,272,Silver,Silver,50000,2,04-08-2023,28536,Fuel,Paid,N,
370,117,Silver,Silver,50000,2,05-07-2023,47821,Fuel,Paid,N,
371,608,Gold,Gold,100000,3,24-04-2023,6320,Fuel,Paid,N,
372,45,Gold,Gold,100000,3,16-01-2023,14792,Groceries,Paid,N,
373,491,NA,NA,,,,,,,Y,Unstable Employment
374,437,NA,NA,,,,,,,Y,Low Salary
375,503,NA,NA,,,,,,,Y,Unstable Employment
376,76,Silver,Silver,50000,2,17-03-2023,3552,Groceries,Paid,N,
377,130,NA,NA,,,,,,,Y,High Debt
378,640,NA,NA,,,,,,,Y,High Debt
379,391,Gold,Gold,100000,3,06-11-2023,44877,Electronics,Paid,N,
380,102,NA,NA,,,,,,,Y,Low Salary
381,874,NA,NA,,,,,,,Y,Low CIBIL
382,441,NA,NA,,,,,,,Y,Unstable Employment
383,234,Gold,Gold,100000,3,21-08-2023,24281,Electronics,Paid,N,
384,426,Silver,Silver,50000,2,10-06-2023,2802,Dining,Paid,N,
385,384,Gold,Gold,100000,3,31-08-2023,2783,Groceries,Paid,N,
386,94,NA,NA,,,,,,,Y,Low Salary
387,96,Gold,Gold,100000,3,10-07-2023,48653,Travel,Paid,N,
388,570,Silver,Silver,50000,2,15-10-2023,43067,Fuel,Paid,N,
389,338,Gold,Gold,100000,3,07-12-2023,16120,Electronics,Paid,N,
390,889,Silver,Silver,50000,2,04-11-2023,30961,Dining,Paid,N,
391,361,Silver,Silver,50000,2,19-04-2023,21250,Travel,Paid,N,
392,673,Gold,Gold,100000,3,25-02-2023,33390,Dining,Paid,N,
393,866,Platinum,Platinum,300000,4,23-05-2023,23683,Fuel,Paid,N,
394,232,Gold,Gold,100000,3,15-11-2023,9972,Fuel,Paid,N,
395,692,card_type,card_type,credit_limit,1,03-12-2023,4227,Dining,Paid,N,
396,30,NA,NA,,,,,,,Y,Low CIBIL
397,280,NA,NA,,,,,,,Y,High Debt
398,348,Gold,Gold,100000,3,15-03-2023,47000,Fuel,Default,N,
399,674,NA,NA,,,,,,,Y,Unstable Employment
400,72,Silver,Silver,50000,2,16-01-2023,26023,Groceries,Paid,N,
401,765,NA,NA,,,,,,,Y,Low CIBIL
402,386,NA,NA,,,,,,,Y,Unstable Employment
403,465,NA,NA,,,,,,,Y,High Debt
404,162,NA,NA,,,,,,,Y,High Debt
405,320,Silver,Silver,50000,2,18-10-2023,31266,Fuel,Paid,N,
406,87,NA,NA,,,,,,,Y,Low Salary
407,160,Silver,Silver,50000,2,26-01-2023,38226,Groceries,Paid,N,
408,279,NA,NA,,,,,,,Y,Unstable Employment
409,678,Platinum,Platinum,300000,4,15-08-2023,1024,Electronics,Paid,N,
410,280,NA,NA,,,,,,,Y,Low CIBIL
411,774,NA,NA,,,,,,,Y,Low Salary
412,354,NA,NA,,,,,,,Y,Unstable Employment
413,114,NA,NA,,,,,,,Y,High Debt
414,695,NA,NA,,,,,,,Y,Unstable Employment
415,540,Platinum,Platinum,300000,4,22-07-2023,9579,Fuel,Paid,N,
416,57,Silver,Silver,50000,2,19-04-2023,8899,Travel,Paid,N,
417,783,NA,NA,,,,,,,Y,High Debt
418,297,NA,NA,,,,,,,Y,High Debt
419,123,Gold,Gold,100000,3,09-08-2023,27870,Travel,Paid,N,
420,133,Gold,Gold,100000,3,28-04-2023,17032,Fuel,Paid,N,
421,573,NA,NA,,,,,,,Y,High Debt
422,74,NA,NA,,,,,,,Y,Unstable Employment
423,883,Silver,Silver,50000,2,24-08-2023,17321,Groceries,Paid,N,
424,883,Gold,Gold,100000,3,21-10-2023,43662,Electronics,Paid,N,
425,727,Silver,Silver,50000,2,27-07-2023,4249,Groceries,Paid,N,
426,333,NA,NA,,,,,,,Y,Low CIBIL
427,821,Platinum,Platinum,300000,4,05-07-2023,11853,Groceries,Paid,N,
