customer_id,age,Gender,city,locality,employment,annual_salary,existing_loans,cibil_score,is_eligible,age_band,recalculated_Eligibility,salary_band,cibil_band
60,22,M,Delhi,Rural,Salaried,11219,1,883,N,18-25,N,Low,Good
61,26,M,Mumbai,Semi-Urban,Self-Employed,7884,2,774,N,25-35,N,Low,Good
62,62,M,Bangalore,Urban,Retired,1021,2,677,N,60+,N,Low,Average
63,24,M,Bangalore,Urban,Self-Employed,366841,1,608,N,18-25,N,Medium,Poor
64,49,F,Bangalore,Rural,Salaried,2296,2,615,N,35-60,N,Low,Poor
65,38,F,Chennai,Urban,Salaried,12549,2,848,N,35-60,N,Low,Good
66,46,M,Hyderabad,Semi-Urban,Self-Employed,13011,3,765,N,35-60,N,Low,Good
67,64,M,Pune,Semi-Urban,Retired,537068,0,661,N,60+,N,High,Average
68,25,F,Mumbai,Urban,Student,19994,1,523,N,25-35,N,Low,Poor
69,30,M,Delhi,Urban,Self-Employed,10833,3,900,N,25-35,N,Low,Good
70,56,M,Mumbai,Urban,Self-Employed,16483,0,900,N,35-60,N,Low,Good
71,22,M,Delhi,Urban,Student,1968,1,533,N,18-25,N,Low,Poor
72,51,F,Chennai,Rural,Salaried,4538,2,900,N,35-60,N,Low,Good
73,35,F,Bangalore,Urban,Self-Employed,14161,3,753,N,35-60,N,Low,Good
74,28,F,Chennai,Rural,Salaried,15421,2,680,N,25-35,N,Low,Average
75,23,F,Hyderabad,Urban,Student,3173,1,477,N,18-25,N,Low,Poor
76,43,F,Hyderabad,Rural,Salaried,15436,3,850,N,35-60,N,Low,Good
77,60,M,Delhi,Urban,Self-Employed,17152,0,892,N,60+,N,Low,Good
78,25,F,Pune,Urban,Student,14289,1,480,N,25-35,N,Low,Poor
79,36,M,Pune,Urban,Salaried,173,1,832,N,35-60,N,Low,Good
80,38,M,Delhi,Semi-Urban,Salaried,17771,3,576,N,35-60,N,Low,Poor
81,44,F,Hyderabad,Semi-Urban,Self-Employed,7510,2,862,N,35-60,N,Low,Good
82,46,F,Hyderabad,Semi-Urban,Salaried,912,2,835,N,35-60,N,Low,Good
83,45,M,Hyderabad,Urban,Salaried,1581,4,592,N,35-60,N,Low,Poor
84,61,M,Chennai,Urban,Retired,3533,4,772,N,60+,N,Low,Good
85,49,M,Hyderabad,Urban,Salaried,14623,4,546,N,35-60,N,Low,Poor
86,22,F,Mumbai,Urban,Student,2721,0,591,N,18-25,N,Low,Poor
87,21,F,Bangalore,Urban,Salaried,11388,4,587,N,18-25,N,Low,Poor
88,45,F,Hyderabad,Rural,Salaried,18154,0,864,N,35-60,N,Low,Good
89,27,F,Delhi,Rural,Salaried,7709,4,874,N,25-35,N,Low,Good
90,29,F,Bangalore,Rural,Salaried,3351,0,699,N,25-35,N,Low,Average
91,44,M,Chennai,Semi-Urban,Salaried,1878,3,797,N,35-60,N,Low,Good
92,21,F,Delhi,Urban,Salaried,5580,3,658,N,18-25,N,Low,Average
93,64,M,Bangalore,Urban,Retired,18606,2,556,N,60+,N,Low,Poor
94,28,M,Delhi,Urban,Salaried,7417,0,690,N,25-35,N,Low,Average
95,44,M,Chennai,Semi-Urban,Self-Employed,3398,1,811,N,35-60,N,Low,Good
96,31,F,Mumbai,Urban,Salaried,10880,2,824,N,25-35,N,Low,Good
97,37,F,Chennai,Urban,Salaried,1153220,3,747,N,35-60,N,High,Average
98,28,F,Chennai,Urban,Salaried,11884,0,900,N,25-35,N,Low,Good
99,55,M,Delhi,Urban,Salaried,5561,4,800,N,35-60,N,Low,Good
100,55,M,Pune,Rural,Self-Employed,18895,1,801,N,35-60,N,Low,Good
101,53,M,Hyderabad,Semi-Urban,Salaried,4406,3,750,N,35-60,N,Low,Good
102,21,M,Hyderabad,Urban,Student,15849,0,540,N,18-25,N,Low,Poor
103,62,M,Mumbai,Rural,Retired,1504,0,900,N,60+,N,Low,Good
104,59,M,Mumbai,Semi-Urban,Salaried,4239,1,748,N,35-60,N,Low,Average
105,61,F,Hyderabad,Urban,Retired,17504,0,900,N,60+,N,Low,Good
106,48,F,Pune,Urban,Salaried,15439,4,850,N,35-60,N,Low,Good
107,27,F,Hyderabad,Urban,Salaried,949,2,599,N,25-35,N,Low,Poor
108,29,F,Pune,Urban,Salaried,1132583,0,792,Y,25-35,Y,High,Good
109,28,M,Mumbai,Rural,Salaried,742136,3,639,N,25-35,N,High,Poor
110,24,M,Bangalore,Urban,Student,748,0,558,N,18-25,N,Low,Poor
111,54,F,Delhi,Rural,Self-Employed,761162,3,617,N,35-60,N,High,Poor
112,25,M,Mumbai,Urban,Student,10771,1,584,N,25-35,N,Low,Poor
113,43,F,Mumbai,Urban,Salaried,629125,2,586,N,35-60,N,High,Poor
114,44,F,Chennai,Urban,Salaried,1207383,3,694,N,35-60,N,High,Average
115,57,F,Chennai,Urban,Salaried,1209531,4,690,N,35-60,N,High,Average
116,55,M,Chennai,Urban,Self-Employed,1380548,4,744,N,35-60,N,High,Average
117,64,F,Delhi,Rural,Retired,1686205,0,848,Y,60+,Y,High,Good
118,60,F,Chennai,Urban,Unemployed,54722,2,559,N,60+,N,Low,Poor
119,42,F,Pune,Semi-Urban,Salaried,481890,1,619,N,35-60,N,Medium,Poor
120,47,M,Hyderabad,Urban,Salaried,1247436,2,741,N,35-60,N,High,Average
121,55,M,Bangalore,Urban,Self-Employed,1567621,4,745,N,35-60,N,High,Average
122,21,F,Mumbai,Urban,Salaried,417473,3,600,N,18-25,N,Medium,Poor
123,55,M,Pune,Urban,Salaried,1840815,1,900,Y,35-60,Y,High,Good
124,57,M,Bangalore,Urban,Self-Employed,1690351,0,900,Y,35-60,Y,High,Good
125,34,M,Pune,Urban,Salaried,1871836,1,879,Y,25-35,Y,High,Good
126,23,M,Pune,Urban,Self-Employed,2148917,0,900,Y,18-25,Y,High,Good
127,21,M,Mumbai,Urban,Salaried,1158823,1,738,N,18-25,N,High,Average
128,21,M,Hyderabad,Urban,Student,18782,0,584,N,18-25,N,Low,Poor
129,46,M,Chennai,Urban,Self-Employed,575437,0,714,N,35-60,N,High,Average
130,34,M,Delhi,Rural,Salaried,456877,1,610,N,25-35,N,Medium,Poor
131,59,M,Hyderabad,Semi-Urban,Salaried,1833471,1,900,Y,35-60,Y,High,Good
132,47,M,Delhi,Urban,Unemployed,11874,0,574,N,35-60,N,Low,Poor
133,29,F,Mumbai,Urban,Salaried,1172834,4,740,N,25-35,N,High,Average
134,22,F,Mumbai,Rural,Student,450,0,570,N,18-25,N,Low,Poor
135,35,M,Mumbai,Semi-Urban,Salaried,743066,2,684,N,35-60,N,High,Average
136,46,F,Bangalore,Urban,Salaried,634923,3,588,N,35-60,N,High,Poor
137,62,F,Delhi,Rural,Retired,869696,0,753,Y,60+,Y,High,Good
138,24,M,Hyderabad,Urban,Student,14819,1,585,N,18-25,N,Low,Poor
139,52,M,Hyderabad,Urban,Salaried,1993470,3,839,Y,35-60,Y,High,Good
140,59,M,Pune,Semi-Urban,Self-Employed,370062,4,577,N,35-60,N,Medium,Poor
141,52,F,Pune,Urban,Salaried,1360676,3,731,N,35-60,N,High,Average
142,24,F,Pune,Rural,Salaried,1667741,1,871,Y,18-25,Y,High,Good
143,50,M,Mumbai,Semi-Urban,Self-Employed,1282499,3,741,N,35-60,N,High,Average
144,57,M,Hyderabad,Urban,Self-Employed,2114445,0,900,Y,35-60,Y,High,Good
145,24,M,Delhi,Urban,Student,16136,1,508,N,18-25,N,Low,Poor
146,59,F,Mumbai,Urban,Salaried,573813,2,585,N,35-60,N,High,Poor
147,35,F,Bangalore,Urban,Salaried,1207651,1,760,Y,35-60,Y,High,Good
148,63,F,Pune,Semi-Urban,Retired,1009132,3,706,N,60+,N,High,Average
149,49,F,Mumbai,Urban,Salaried,573022,0,713,N,35-60,N,High,Average
150,56,M,Mumbai,Urban,Salaried,1089417,1,774,Y,35-60,Y,High,Good
151,33,M,Bangalore,Semi-Urban,Self-Employed,1864099,0,887,Y,25-35,Y,High,Good
152,52,M,Chennai,Urban,Salaried,581075,4,618,N,35-60,N,High,Poor
153,20,M,Hyderabad,Semi-Urban,Student,12584,1,521,N,18-25,N,Low,Poor
154,42,F,Delhi,Urban,Unemployed,336,4,463,N,35-60,N,Low,Poor
155,48,F,Chennai,Rural,Salaried,1129365,2,690,N,35-60,N,High,Average
156,19,M,Pune,Urban,Student,8570,1,535,N,18-25,N,Low,Poor
157,62,M,Mumbai,Urban,Retired,1480796,1,839,Y,60+,Y,High,Good
158,26,F,Bangalore,Urban,Salaried,413936,3,621,N,25-35,N,Medium,Poor
159,48,M,Bangalore,Urban,Salaried,316279,2,544,N,35-60,N,Medium,Poor
160,48,F,Hyderabad,Semi-Urban,Salaried,1548313,2,786,Y,35-60,Y,High,Good
161,64,M,Chennai,Semi-Urban,Retired,1452327,2,761,Y,60+,Y,High,Good
162,25,M,Hyderabad,Semi-Urban,Student,3274,0,581,N,25-35,N,Low,Poor
163,40,M,Mumbai,Urban,Salaried,1419962,1,856,Y,35-60,Y,High,Good
164,22,M,Hyderabad,Urban,Student,11004,1,517,N,18-25,N,Low,Poor
165,31,M,Delhi,Urban,Self-Employed,1666470,3,843,Y,25-35,Y,High,Good
166,48,M,Bangalore,Urban,Salaried,636199,4,642,N,35-60,N,High,Poor
167,45,M,Bangalore,Rural,Unemployed,91911,2,525,N,35-60,N,Low,Poor
168,59,F,Pune,Urban,Salaried,1185050,2,715,N,35-60,N,High,Average
169,53,F,Pune,Urban,Salaried,1819065,2,828,Y,35-60,Y,High,Good
170,21,F,Mumbai,Urban,Self-Employed,1243978,3,771,Y,18-25,Y,High,Good
171,47,F,Delhi,Semi-Urban,Salaried,747244,4,595,N,35-60,N,High,Poor
172,33,F,Chennai,Semi-Urban,Salaried,1569670,0,865,Y,25-35,Y,High,Good
173,61,M,Hyderabad,Rural,Retired,676036,1,662,N,60+,N,High,Average
174,23,M,Mumbai,Urban,Salaried,537723,0,613,N,18-25,N,High,Poor
175,59,F,Pune,Urban,Unemployed,71128,3,512,N,35-60,N,Low,Poor
176,26,M,Hyderabad,Rural,Salaried,1759900,2,879,Y,25-35,Y,High,Good
177,28,F,Pune,Semi-Urban,Salaried,1138927,1,717,N,25-35,N,High,Average
178,47,F,Hyderabad,Urban,Salaried,382806,3,530,N,35-60,N,Medium,Poor
179,22,M,Chennai,Semi-Urban,Student,11775,1,531,N,18-25,N,Low,Poor
180,57,M,Mumbai,Semi-Urban,Salaried,1031893,3,648,N,35-60,N,High,Poor
181,53,M,Hyderabad,Semi-Urban,Salaried,1578673,1,863,Y,35-60,Y,High,Good
182,62,F,Delhi,Semi-Urban,Retired,1274334,1,756,Y,60+,Y,High,Good
183,64,M,Bangalore,Urban,Retired,1292144,4,730,N,60+,N,High,Average
184,44,F,Delhi,Urban,Self-Employed,1988460,4,853,Y,35-60,Y,High,Good
185,35,F,Delhi,Urban,Self-Employed,739709,0,655,N,35-60,N,High,Average
186,52,F,Bangalore,Semi-Urban,Salaried,737585,1,641,N,35-60,N,High,Poor
187,52,M,Delhi,Semi-Urban,Self-Employed,1067108,1,695,N,35-60,N,High,Average
188,44,M,Hyderabad,Semi-Urban,Salaried,1150525,1,802,Y,35-60,Y,High,Good
189,61,F,Hyderabad,Urban,Retired,79414,4,504,N,60+,N,Low,Poor
190,32,M,Hyderabad,Semi-Urban,Unemployed,93095,3,474,N,25-35,N,Low,Poor
191,59,M,Bangalore,Semi-Urban,Salaried,1067442,2,698,N,35-60,N,High,Average
192,23,M,Delhi,Semi-Urban,Student,4338,0,464,N,18-25,N,Low,Poor
193,23,F,Bangalore,Semi-Urban,Self-Employed,725278,1,696,N,18-25,N,High,Average
194,57,F,Hyderabad,Semi-Urban,Salaried,594067,4,558,N,35-60,N,High,Poor
195,37,M,Delhi,Urban,Salaried,679593,0,645,N,35-60,N,High,Poor
196,22,F,Delhi,Urban,Salaried,794955,1,675,N,18-25,N,High,Average
197,22,M,Pune,Urban,Self-Employed,1534574,0,877,Y,18-25,Y,High,Good
198,48,M,Pune,Urban,Unemployed,47574,1,576,N,35-60,N,Low,Poor
199,43,M,Chennai,Semi-Urban,Self-Employed,1735183,4,801,Y,35-60,Y,High,Good
200,24,M,Mumbai,Semi-Urban,Student,11136,1,487,N,18-25,N,Low,Poor
201,52,F,Pune,Urban,Salaried,1926528,2,858,Y,35-60,Y,High,Good
202,53,F,Bangalore,Urban,Self-Employed,2152392,0,900,Y,35-60,Y,High,Good
203,21,F,Pune,Semi-Urban,Self-Employed,1595205,4,750,N,18-25,N,High,Good
204,39,M,Chennai,Urban,Salaried,1608014,3,798,Y,35-60,Y,High,Good
205,22,M,Delhi,Urban,Salaried,450528,4,543,N,18-25,N,Medium,Poor
206,64,M,Chennai,Urban,Retired,718011,0,683,N,60+,N,High,Average
207,46,F,Delhi,Urban,Salaried,597698,2,588,N,35-60,N,High,Poor
208,52,M,Delhi,Urban,Self-Employed,996760,4,635,N,35-60,N,High,Poor
209,26,F,Mumbai,Urban,Salaried,598783,1,615,N,25-35,N,High,Poor
210,52,F,Pune,Urban,Salaried,1579758,3,821,Y,35-60,Y,High,Good
211,24,F,Bangalore,Rural,Self-Employed,1387613,4,758,Y,18-25,Y,High,Good
212,31,F,Bangalore,Urban,Salaried,1048423,3,743,N,25-35,N,High,Average
213,37,F,Hyderabad,Semi-Urban,Salaried,1537063,1,787,Y,35-60,Y,High,Good
214,58,F,Delhi,Urban,Salaried,318074,2,534,N,35-60,N,Medium,Poor
215,25,M,Bangalore,Urban,Student,18822,1,502,N,25-35,N,Low,Poor
216,25,M,Mumbai,Semi-Urban,Salaried,1640683,1,849,Y,25-35,Y,High,Good
217,24,F,Delhi,Urban,Student,14309,0,472,N,18-25,N,Low,Poor
218,26,F,Mumbai,Urban,Salaried,316061,4,580,N,25-35,N,Medium,Poor
219,42,M,Bangalore,Urban,Unemployed,113502,1,586,N,35-60,N,Medium,Poor
220,31,F,Bangalore,Semi-Urban,Unemployed,22800,0,589,N,25-35,N,Low,Poor
221,36,F,Hyderabad,Urban,Salaried,1726912,3,788,Y,35-60,Y,High,Good
222,53,M,Bangalore,Urban,Salaried,802175,2,701,N,35-60,N,High,Average
223,29,F,Delhi,Semi-Urban,Salaried,1605081,1,869,Y,25-35,Y,High,Good
224,26,F,Delhi,Urban,Salaried,931516,2,664,N,25-35,N,High,Average
225,36,F,Delhi,Semi-Urban,Salaried,506548,3,542,N,35-60,N,High,Poor
226,49,M,Hyderabad,Semi-Urban,Salaried,1811252,2,833,Y,35-60,Y,High,Good
227,23,M,Hyderabad,Rural,Salaried,750983,1,710,N,18-25,N,High,Average
228,40,M,Bangalore,Urban,Salaried,768535,3,666,N,35-60,N,High,Average
229,56,F,Chennai,Semi-Urban,Salaried,796005,0,756,Y,35-60,Y,High,Good
230,39,F,Chennai,Urban,Salaried,1000757,1,685,N,35-60,N,High,Average
231,46,M,Hyderabad,Urban,Unemployed,13233,4,429,N,35-60,N,Low,Poor
232,23,F,Bangalore,Urban,Salaried,1066565,1,743,N,18-25,N,High,Average
233,39,F,Chennai,Semi-Urban,Salaried,783236,3,606,N,35-60,N,High,Poor
234,40,F,Bangalore,Urban,Salaried,1152159,1,772,Y,35-60,Y,High,Good
235,52,F,Bangalore,Urban,Self-Employed,2175618,0,900,Y,35-60,Y,High,Good
236,21,F,Bangalore,Urban,Student,1737,0,535,N,18-25,N,Low,Poor
237,24,M,Pune,Semi-Urban,Student,14892,0,522,N,18-25,N,Low,Poor
238,53,F,Delhi,Semi-Urban,Unemployed,108464,2,482,N,35-60,N,Medium,Poor
239,60,M,Bangalore,Semi-Urban,Salaried,517314,3,550,N,60+,N,High,Poor
240,59,F,Pune,Urban,Self-Employed,1784090,3,806,Y,35-60,Y,High,Good
241,38,M,Hyderabad,Urban,Self-Employed,998692,2,711,N,35-60,N,High,Average
242,60,F,Chennai,Semi-Urban,Salaried,585810,0,716,N,60+,N,High,Average
243,21,M,Delhi,Urban,Unemployed,58817,0,520,N,18-25,N,Low,Poor
244,31,F,Chennai,Urban,Salaried,1964062,1,900,Y,25-35,Y,High,Good
245,48,M,Delhi,Semi-Urban,Self-Employed,2326775,4,900,Y,35-60,Y,High,Good
246,45,F,Chennai,Rural,Salaried,727858,4,572,N,35-60,N,High,Poor
247,43,M,Delhi,Semi-Urban,Salaried,1914694,4,837,Y,35-60,Y,High,Good
248,51,F,Chennai,Semi-Urban,Self-Employed,831904,1,738,N,35-60,N,High,Average
249,50,M,Chennai,Rural,Salaried,571365,4,609,N,35-60,N,High,Poor
250,62,M,Chennai,Urban,Retired,1491058,2,771,Y,60+,Y,High,Good
251,55,F,Chennai,Urban,Salaried,1016773,1,736,N,35-60,N,High,Average
252,27,F,Hyderabad,Rural,Self-Employed,2195537,2,900,Y,25-35,Y,High,Good
253,36,M,Bangalore,Urban,Salaried,1949782,1,900,Y,35-60,Y,High,Good
254,46,F,Mumbai,Semi-Urban,Salaried,378116,4,515,N,35-60,N,Medium,Poor
255,23,M,Pune,Urban,Student,12481,0,543,N,18-25,N,Low,Poor
256,21,M,Mumbai,Urban,Self-Employed,2272643,2,900,Y,18-25,Y,High,Good
257,32,M,Mumbai,Semi-Urban,Salaried,1577507,2,813,Y,25-35,Y,High,Good
258,25,F,Delhi,Rural,Self-Employed,769385,1,652,N,25-35,N,High,Average
259,57,M,Bangalore,Semi-Urban,Self-Employed,1822138,3,891,Y,35-60,Y,High,Good
260,21,M,Delhi,Urban,Student,18602,0,542,N,18-25,N,Low,Poor
261,29,F,Bangalore,Rural,Salaried,1929753,2,851,Y,25-35,Y,High,Good
262,61,F,Bangalore,Urban,Retired,1286399,3,705,N,60+,N,High,Average
263,55,F,Chennai,Urban,Salaried,526256,4,525,N,35-60,N,High,Poor
264,39,F,Hyderabad,Urban,Salaried,1122376,4,669,N,35-60,N,High,Average
265,36,M,Chennai,Urban,Salaried,1185987,2,734,N,35-60,N,High,Average
266,23,M,Hyderabad,Urban,Salaried,862422,2,669,N,18-25,N,High,Average
267,40,M,Delhi,Rural,Salaried,720539,1,684,N,35-60,N,High,Average
268,44,M,Hyderabad,Semi-Urban,Salaried,1857997,3,854,Y,35-60,Y,High,Good
269,53,F,Delhi,Semi-Urban,Salaried,502834,3,625,N,35-60,N,High,Poor
270,22,M,Mumbai,Urban,Student,1478,1,518,N,18-25,N,Low,Poor
271,31,M,Mumbai,Rural,Salaried,1010381,4,695,N,25-35,N,High,Average
272,28,F,Hyderabad,Rural,Salaried,1700679,2,861,Y,25-35,Y,High,Good
273,56,M,Hyderabad,Semi-Urban,Self-Employed,2033802,4,831,Y,35-60,Y,High,Good
274,58,M,Delhi,Urban,Salaried,1615712,4,759,Y,35-60,Y,High,Good
275,60,M,Chennai,Urban,Self-Employed,776249,2,665,N,60+,N,High,Average
276,40,M,Delhi,Urban,Self-Employed,2333631,0,900,Y,35-60,Y,High,Good
277,55,M,Chennai,Urban,Salaried,725767,3,608,N,35-60,N,High,Poor
278,45,M,Mumbai,Urban,Self-Employed,2271835,4,900,Y,35-60,Y,High,Good
279,55,F,Bangalore,Rural,Salaried,1099687,4,648,N,35-60,N,High,Poor
280,45,F,Hyderabad,Urban,Salaried,435639,0,658,N,35-60,N,Medium,Average
281,49,M,Chennai,Urban,Salaried,1060177,1,712,N,35-60,N,High,Average
282,38,M,Delhi,Urban,Salaried,1368965,0,842,Y,35-60,Y,High,Good
283,25,F,Mumbai,Urban,Student,16183,1,618,N,25-35,N,Low,Poor
284,22,M,Chennai,Urban,Salaried,623720,4,600,N,18-25,N,High,Poor
285,55,M,Delhi,Urban,Salaried,1344846,3,746,N,35-60,N,High,Average
286,36,M,Hyderabad,Urban,Salaried,1130351,0,813,Y,35-60,Y,High,Good
287,61,F,Hyderabad,Semi-Urban,Retired,1037463,1,719,N,60+,N,High,Average
288,56,M,Pune,Rural,Salaried,303358,2,578,N,35-60,N,Medium,Poor
289,53,F,Bangalore,Urban,Salaried,650679,0,647,N,35-60,N,High,Poor
290,24,M,Pune,Urban,Self-Employed,1551133,0,865,Y,18-25,Y,High,Good
291,53,F,Mumbai,Semi-Urban,Salaried,507596,1,672,N,35-60,N,High,Average
292,34,F,Chennai,Urban,Salaried,930270,3,682,N,25-35,N,High,Average
293,41,M,Mumbai,Urban,Salaried,528129,0,700,N,35-60,N,High,Average
294,40,F,Delhi,Rural,Salaried,628953,0,700,N,35-60,N,High,Average
295,20,M,Hyderabad,Urban,Student,14436,0,515,N,18-25,N,Low,Poor
296,27,F,Pune,Semi-Urban,Salaried,1404381,1,801,Y,25-35,Y,High,Good
297,23,M,Pune,Urban,Salaried,462421,0,618,N,18-25,N,Medium,Poor
298,37,M,Pune,Urban,Salaried,1556425,3,824,Y,35-60,Y,High,Good
299,53,F,Mumbai,Urban,Self-Employed,2266328,0,900,Y,35-60,Y,High,Good
300,32,M,Hyderabad,Semi-Urban,Salaried,1161465,2,733,N,25-35,N,High,Average
301,42,M,Chennai,Urban,Salaried,538483,4,558,N,35-60,N,High,Poor
302,42,F,Delhi,Urban,Self-Employed,2116962,2,900,Y,35-60,Y,High,Good
303,50,M,Chennai,Semi-Urban,Salaried,570146,0,638,N,35-60,N,High,Poor
304,21,M,Mumbai,Urban,Student,14439,1,577,N,18-25,N,Low,Poor
305,58,F,Delhi,Urban,Self-Employed,357524,4,513,N,35-60,N,Medium,Poor
306,28,F,Pune,Rural,Salaried,518306,2,660,N,25-35,N,High,Average
307,47,M,Bangalore,Urban,Salaried,1211289,3,738,N,35-60,N,High,Average
308,47,M,Mumbai,Semi-Urban,Salaried,844026,1,699,N,35-60,N,High,Average
309,54,F,Mumbai,Semi-Urban,Salaried,413776,2,628,N,35-60,N,Medium,Poor
310,41,F,Hyderabad,Semi-Urban,Unemployed,143464,3,560,N,35-60,N,Medium,Poor
311,50,M,Chennai,Urban,Salaried,577785,0,645,N,35-60,N,High,Poor
312,53,F,Mumbai,Rural,Salaried,1690254,3,841,Y,35-60,Y,High,Good
313,48,M,Mumbai,Urban,Self-Employed,518449,2,633,N,35-60,N,High,Poor
314,53,M,Pune,Semi-Urban,Salaried,1053622,2,702,N,35-60,N,High,Average
315,25,M,Pune,Urban,Salaried,1629502,0,900,Y,25-35,Y,High,Good
316,39,M,Delhi,Urban,Salaried,1688977,3,778,Y,35-60,Y,High,Good
317,24,M,Bangalore,Urban,Salaried,536371,3,564,N,18-25,N,High,Poor
318,55,F,Hyderabad,Rural,Self-Employed,896275,0,725,N,35-60,N,High,Average
319,37,F,Bangalore,Rural,Salaried,424591,3,556,N,35-60,N,Medium,Poor
320,64,F,Delhi,Urban,Retired,892054,0,775,Y,60+,Y,High,Good
