Transaction_id,customer_id,Card_Type,Card_Limit,card_id,purchase_date,purchase_amount,merchant_category,Payment_status,Applied_but_rejected,Rejection_reason
1446,35,Gold,100000,2,12-12-202300:00:00,21358,Groceries,Paid,N,
1892,35,Gold,100000,2,27-12-202300:00:00,28751,Dining,Paid,N,
1936,35,Gold,100000,2,30-01-202300:00:00,19549,Fuel,Paid,N,
1770,37,,,,,,,,Y,LowSalary
2208,37,,,,,,,,Y,LowSalary
1364,38,,,,,,,,Y,HighDebt
1763,38,,,,,,,,Y,LowCIBIL
1034,39,,,,,,,,Y,LowSalary
1319,39,,,,,,,,Y,LowSalary
1954,39,,,,,,,,Y,UnstableEmployment
1416,40,Gold,100000,2,04-12-202300:00:00,2406,Travel,Default,N,
449,41,,,,,,,,Y,LowCIBIL
1296,41,,,,,,,,Y,LowCIBIL
1592,41,,,,,,,,Y,UnstableEmployment
1693,41,,,,,,,,Y,LowCIBIL
517,43,,,,,,,,Y,HighDebt
1005,44,,,,,,,,Y,UnstableEmployment
2113,44,,,,,,,,Y,HighDebt
372,45,Platinum,300000,3,16-01-202300:00:00,14792,Groceries,Paid,N,
954,46,,,,,,,,Y,LowSalary
1080,46,,,,,,,,Y,HighDebt
1820,46,,,,,,,,Y,LowSalary
17,47,,,,,,,,Y,LowCIBIL
345,47,,,,,,,,Y,LowSalary
688,47,,,,,,,,Y,UnstableEmployment
1247,47,,,,,,,,Y,LowCIBIL
1787,47,,,,,,,,Y,HighDebt
1222,48,Gold,100000,2,10-06-202300:00:00,6044,Groceries,Paid,N,
1254,48,Gold,100000,2,19-08-202300:00:00,30299,Electronics,Paid,N,
2239,49,Platinum,300000,3,25-07-202300:00:00,32891,Travel,Paid,N,
1057,50,,,,,,,,Y,UnstableEmployment
2133,50,,,,,,,,Y,HighDebt
1106,51,,,,,,,,Y,UnstableEmployment
1561,51,,,,,,,,Y,LowSalary
1760,51,,,,,,,,Y,LowCIBIL
74,52,Gold,100000,2,02-05-202300:00:00,25592,Travel,Paid,N,
586,52,Platinum,300000,3,12-11-202300:00:00,26101,Electronics,Paid,N,
595,52,Platinum,300000,3,01-12-202300:00:00,34072,Electronics,Paid,N,
1006,52,Gold,100000,2,10-08-202300:00:00,29301,Electronics,Paid,N,
900,54,,,,,,,,Y,UnstableEmployment
856,55,Platinum,300000,3,06-09-202300:00:00,37463,Travel,Paid,N,
1069,55,Gold,100000,2,08-04-202300:00:00,35300,Electronics,Paid,N,
1651,56,Signature,600000,4,13-06-202300:00:00,8669,Fuel,Paid,N,
1919,56,Signature,600000,4,01-03-202300:00:00,11202,Groceries,Paid,N,
416,57,Gold,100000,2,19-04-202300:00:00,8899,Travel,Paid,N,
1959,57,Gold,100000,2,24-06-202300:00:00,28184,Groceries,Paid,N,
2263,57,Gold,100000,2,02-06-202300:00:00,26381,Groceries,Paid,N,
761,58,Platinum,300000,3,12-02-202300:00:00,8133,Electronics,Paid,N,
1035,58,Platinum,300000,3,11-01-202300:00:00,40597,Fuel,Paid,N,
1403,58,Platinum,300000,3,03-04-202300:00:00,2524,Fuel,Paid,N,
1571,58,Signature,600000,4,06-02-202300:00:00,10725,Fuel,Paid,N,
2214,58,Signature,600000,4,30-10-202300:00:00,8137,Electronics,Paid,N,
2223,58,Platinum,300000,3,28-11-202300:00:00,27239,Dining,Paid,N,
84,59,,,,,,,,Y,LowSalary
441,59,,,,,,,,Y,HighDebt
1143,59,,,,,,,,Y,UnstableEmployment
81,60,Platinum,300000,3,30-01-202300:00:00,27005,Groceries,Paid,N,
940,60,Platinum,300000,3,11-08-202300:00:00,47160,Groceries,Paid,N,
1024,60,Signature,600000,4,27-10-202300:00:00,41517,Travel,Paid,N,
2130,60,Platinum,300000,3,21-12-202300:00:00,35125,Travel,Paid,N,
1039,61,Gold,100000,2,27-12-202300:00:00,15121,Travel,Paid,N,
1501,62,,,,,,,,Y,LowCIBIL
1587,62,,,,,,,,Y,HighDebt
354,63,,,,,,,,Y,UnstableEmployment
2216,63,,,,,,,,Y,LowSalary
1082,64,,,,,,,,Y,LowCIBIL
499,65,Platinum,300000,3,13-09-202300:00:00,32336,Fuel,Paid,N,
515,65,Signature,600000,4,14-04-202300:00:00,10964,Groceries,Paid,N,
1980,65,Platinum,300000,3,14-12-202300:00:00,45027,Electronics,Paid,N,
2055,65,Signature,600000,4,06-09-202300:00:00,41534,Fuel,Paid,N,
1002,67,,,,,,,,Y,LowCIBIL
29,68,,,,,,,,Y,LowCIBIL
453,68,,,,,,,,Y,HighDebt
1725,68,,,,,,,,Y,LowCIBIL
1803,68,,,,,,,,Y,LowCIBIL
1851,68,,,,,,,,Y,HighDebt
438,70,Signature,600000,4,05-06-202300:00:00,3323,Dining,Paid,N,
506,70,Platinum,300000,3,29-08-202300:00:00,39843,Groceries,Paid,N,
749,70,Platinum,300000,3,16-09-202300:00:00,45065,Electronics,Default,N,
1709,70,Platinum,300000,3,16-03-202300:00:00,5924,Groceries,Paid,N,
86,71,,,,,,,,Y,LowSalary
359,71,,,,,,,,Y,LowCIBIL
963,71,,,,,,,,Y,UnstableEmployment
400,72,Gold,100000,2,16-01-202300:00:00,26023,Groceries,Paid,N,
1321,73,Gold,100000,2,28-07-202300:00:00,828,Electronics,Paid,N,
422,74,,,,,,,,Y,UnstableEmployment
1883,74,,,,,,,,Y,LowSalary
578,75,,,,,,,,Y,LowSalary
1300,75,,,,,,,,Y,HighDebt
376,76,Gold,100000,2,17-03-202300:00:00,3552,Groceries,Paid,N,
1063,76,Gold,100000,2,13-06-202300:00:00,17694,Dining,Paid,N,
1320,76,Gold,100000,2,09-05-202300:00:00,5210,Fuel,Paid,N,
293,77,Signature,600000,4,16-05-202300:00:00,27246,Dining,Paid,N,
533,77,Signature,600000,4,14-12-202300:00:00,28367,Travel,Paid,N,
980,77,Platinum,300000,3,08-03-202300:00:00,18048,Travel,Paid,N,
984,77,Platinum,300000,3,27-10-202300:00:00,5919,Groceries,Paid,N,
1202,77,Platinum,300000,3,26-11-202300:00:00,43929,Travel,Paid,N,
432,79,Gold,100000,2,10-04-202300:00:00,25070,Dining,Paid,N,
768,79,Platinum,300000,3,04-05-202300:00:00,24863,Fuel,Paid,N,
1620,80,,,,,,,,Y,LowCIBIL
2153,80,,,,,,,,Y,LowSalary
51,81,Gold,100000,2,05-02-202300:00:00,12314,Fuel,Paid,N,
307,81,Platinum,300000,3,04-05-202300:00:00,36212,Electronics,Paid,N,
758,81,Platinum,300000,3,24-08-202300:00:00,27191,Fuel,Paid,N,
1512,81,Platinum,300000,3,26-08-202300:00:00,39631,Travel,Paid,N,
1838,81,Platinum,300000,3,17-02-202300:00:00,37585,Electronics,Paid,N,
528,82,Signature,600000,4,06-06-202300:00:00,18448,Electronics,Paid,N,
1441,82,Platinum,300000,3,25-07-202300:00:00,30004,Fuel,Paid,N,
1717,82,Signature,600000,4,06-11-202300:00:00,36429,Electronics,Paid,N,
693,83,,,,,,,,Y,LowCIBIL
1989,83,,,,,,,,Y,LowSalary
1076,84,Platinum,300000,3,07-06-202300:00:00,42056,Electronics,Paid,N,
779,85,,,,,,,,Y,HighDebt
898,85,,,,,,,,Y,HighDebt
936,85,,,,,,,,Y,LowCIBIL
1906,85,,,,,,,,Y,LowCIBIL
2177,85,,,,,,,,Y,HighDebt
406,87,,,,,,,,Y,LowSalary
227,88,Gold,100000,2,02-08-202300:00:00,36904,Fuel,Paid,N,
778,88,Platinum,300000,3,01-01-202400:00:00,21801,Groceries,Paid,N,
827,88,Gold,100000,2,14-03-202300:00:00,40664,Dining,Paid,N,
1084,88,Platinum,300000,3,31-07-202300:00:00,38945,Fuel,Paid,N,
1405,88,Gold,100000,2,30-08-202300:00:00,14003,Electronics,Paid,N,
917,89,Platinum,300000,3,05-03-202300:00:00,24025,Fuel,Paid,N,
965,89,Signature,600000,4,13-04-202300:00:00,47856,Dining,Default,N,
1808,89,Signature,600000,4,10-07-202300:00:00,24683,Electronics,Paid,N,
2024,89,Signature,600000,4,08-09-202300:00:00,10128,Travel,Paid,N,
4,90,,,,,,,,Y,UnstableEmployment
551,90,,,,,,,,Y,HighDebt
1014,90,,,,,,,,Y,HighDebt
1701,90,,,,,,,,Y,UnstableEmployment
1777,90,,,,,,,,Y,UnstableEmployment
2059,90,,,,,,,,Y,LowSalary
1996,91,Platinum,300000,3,03-01-202300:00:00,35778,Fuel,Paid,N,
2107,91,Gold,100000,2,20-05-202300:00:00,43574,Electronics,Paid,N,
1869,92,,,,,,,,Y,LowSalary
329,93,,,,,,,,Y,HighDebt
1452,93,,,,,,,,Y,HighDebt
253,94,,,,,,,,Y,UnstableEmployment
386,94,,,,,,,,Y,LowSalary
483,94,,,,,,,,Y,LowCIBIL
683,94,,,,,,,,Y,UnstableEmployment
1745,94,,,,,,,,Y,LowSalary
12,95,Platinum,300000,3,26-06-202300:00:00,33622,Fuel,Paid,N,
106,95,Platinum,300000,3,23-01-202300:00:00,43954,Groceries,Paid,N,
722,95,Gold,100000,2,13-07-202300:00:00,33814,Fuel,Paid,N,
1645,95,Platinum,300000,3,22-04-202300:00:00,43429,Groceries,Paid,N,
1813,95,Platinum,300000,3,05-09-202300:00:00,27669,Fuel,Paid,N,
141,96,Gold,100000,2,26-04-202300:00:00,27256,Travel,Paid,N,
387,96,Platinum,300000,3,10-07-202300:00:00,48653,Travel,Paid,N,
570,96,Gold,100000,2,25-10-202300:00:00,38028,Travel,Paid,N,
760,96,Platinum,300000,3,10-10-202300:00:00,11431,Electronics,Paid,N,
454,97,Platinum,300000,3,03-12-202300:00:00,30185,Fuel,Paid,N,
996,97,Platinum,300000,3,13-03-202300:00:00,25247,Groceries,Paid,N,
1642,97,Gold,100000,2,21-03-202300:00:00,39611,Travel,Paid,N,
1207,98,Platinum,300000,3,12-03-202300:00:00,27681,Travel,Default,N,
1071,99,Gold,100000,2,09-10-202300:00:00,46005,Electronics,Paid,N,
1075,100,Gold,100000,2,23-11-202300:00:00,40397,Dining,Paid,N,
1152,100,Platinum,300000,3,13-05-202300:00:00,9219,Fuel,Paid,N,
1839,100,Platinum,300000,3,26-11-202300:00:00,20338,Electronics,Paid,N,
733,101,Platinum,300000,3,13-06-202300:00:00,2252,Travel,Paid,N,
821,101,Platinum,300000,3,23-09-202300:00:00,44828,Fuel,Paid,N,
2012,101,Gold,100000,2,13-04-202300:00:00,44390,Electronics,Paid,N,
380,102,,,,,,,,Y,LowSalary
216,103,Platinum,300000,3,04-07-202300:00:00,20142,Travel,Paid,N,
645,103,Platinum,300000,3,09-10-202300:00:00,49603,Travel,Default,N,
1437,103,Platinum,300000,3,23-06-202300:00:00,44313,Fuel,Paid,N,
1988,103,Signature,600000,4,09-01-202300:00:00,17279,Electronics,Paid,N,
1061,104,Platinum,300000,3,23-10-202300:00:00,6769,Travel,Paid,N,
843,105,Platinum,300000,3,11-04-202300:00:00,9197,Electronics,Paid,N,
2185,105,Platinum,300000,3,12-04-202300:00:00,36363,Dining,Paid,N,
447,106,Platinum,300000,3,13-02-202300:00:00,48136,Fuel,Paid,N,
787,106,Gold,100000,2,11-10-202300:00:00,38034,Groceries,Paid,N,
1381,106,Platinum,300000,3,15-05-202300:00:00,17897,Fuel,Paid,N,
1847,106,Platinum,300000,3,24-02-202300:00:00,24790,Dining,Paid,N,
1950,106,Gold,100000,2,20-10-202300:00:00,15337,Dining,Paid,N,
974,107,,,,,,,,Y,LowCIBIL
1214,107,,,,,,,,Y,UnstableEmployment
1260,107,,,,,,,,Y,UnstableEmployment
1527,107,,,,,,,,Y,HighDebt
2006,107,,,,,,,,Y,LowSalary
1064,108,Gold,100000,2,12-07-202300:00:00,27311,Travel,Paid,N,
44,109,,,,,,,,Y,HighDebt
194,109,,,,,,,,Y,UnstableEmployment
583,109,,,,,,,,Y,HighDebt
820,109,,,,,,,,Y,LowSalary
782,110,,,,,,,,Y,LowSalary
1456,110,,,,,,,,Y,LowSalary
2271,110,,,,,,,,Y,LowCIBIL
186,111,,,,,,,,Y,LowSalary
341,111,,,,,,,,Y,LowCIBIL
1253,111,,,,,,,,Y,UnstableEmployment
2155,111,,,,,,,,Y,LowSalary
2191,111,,,,,,,,Y,LowSalary
816,112,,,,,,,,Y,LowCIBIL
366,113,,,,,,,,Y,LowSalary
1873,113,,,,,,,,Y,HighDebt
413,114,,,,,,,,Y,HighDebt
1606,114,,,,,,,,Y,LowSalary
49,115,,,,,,,,Y,HighDebt
1810,115,,,,,,,,Y,HighDebt
2266,115,,,,,,,,Y,LowSalary
1099,116,Platinum,300000,3,18-10-202300:00:00,10325,Fuel,Paid,N,
1213,116,Gold,100000,2,31-01-202300:00:00,21637,Travel,Paid,N,
1581,116,Gold,100000,2,16-06-202300:00:00,22326,Groceries,Paid,N,
1672,116,Gold,100000,2,14-11-202300:00:00,47077,Travel,Paid,N,
1893,116,Platinum,300000,3,10-02-202300:00:00,5032,Travel,Paid,N,
370,117,Gold,100000,2,05-07-202300:00:00,47821,Fuel,Paid,N,
844,117,Platinum,300000,3,08-09-202300:00:00,18013,Fuel,Paid,N,
1210,117,Platinum,300000,3,22-08-202300:00:00,605,Dining,Paid,N,
1979,117,Platinum,300000,3,12-11-202300:00:00,16638,Travel,Paid,N,
1339,118,,,,,,,,Y,LowCIBIL
1828,118,,,,,,,,Y,LowSalary
1858,118,,,,,,,,Y,UnstableEmployment
2225,118,,,,,,,,Y,HighDebt
1462,120,Platinum,300000,3,21-11-202300:00:00,35821,Travel,Default,N,
2077,120,Gold,100000,2,22-10-202300:00:00,18058,Travel,Paid,N,
695,122,,,,,,,,Y,LowCIBIL
1784,122,,,,,,,,Y,LowSalary
1972,122,,,,,,,,Y,LowCIBIL
2204,122,,,,,,,,Y,UnstableEmployment
419,123,Platinum,300000,3,09-08-202300:00:00,27870,Travel,Paid,N,
943,123,Platinum,300000,3,26-12-202300:00:00,26002,Groceries,Paid,N,
1160,123,Signature,600000,4,31-07-202300:00:00,47224,Groceries,Paid,N,
1475,123,Platinum,300000,3,06-12-202300:00:00,5557,Electronics,Paid,N,
2184,123,Platinum,300000,3,22-12-202300:00:00,3785,Fuel,Paid,N,
213,124,Gold,100000,2,02-10-202300:00:00,47005,Travel,Paid,N,
1091,124,Platinum,300000,3,27-03-202300:00:00,20581,Travel,Paid,N,
267,125,Platinum,300000,3,08-11-202300:00:00,6740,Travel,Paid,N,
556,125,Platinum,300000,3,02-05-202300:00:00,20769,Electronics,Paid,N,
1958,125,Signature,600000,4,05-06-202300:00:00,41797,Electronics,Paid,N,
356,126,Signature,600000,4,19-04-202300:00:00,548,Fuel,Paid,N,
2187,126,Platinum,300000,3,13-09-202300:00:00,17204,Dining,Paid,N,
1186,127,Platinum,300000,3,20-01-202300:00:00,48394,Electronics,Paid,N,
1335,127,Gold,100000,2,02-11-202300:00:00,33388,Electronics,Default,N,
2120,128,,,,,,,,Y,HighDebt
561,129,Gold,100000,2,19-08-202300:00:00,42612,Electronics,Paid,N,
1523,129,Silver,50000,1,25-12-202300:00:00,46922,Groceries,Paid,N,
1564,129,Gold,100000,2,30-04-202300:00:00,37401,Groceries,Paid,N,
377,130,,,,,,,,Y,HighDebt
947,130,,,,,,,,Y,HighDebt
112,131,Platinum,300000,3,21-01-202300:00:00,15299,Dining,Paid,N,
170,131,Platinum,300000,3,31-10-202300:00:00,27139,Fuel,Paid,N,
1048,131,Platinum,300000,3,26-12-202300:00:00,41002,Fuel,Paid,N,
2017,131,Platinum,300000,3,31-01-202300:00:00,8814,Dining,Paid,N,
53,132,,,,,,,,Y,UnstableEmployment
563,132,,,,,,,,Y,LowCIBIL
604,132,,,,,,,,Y,LowSalary
2218,132,,,,,,,,Y,HighDebt
420,133,Platinum,300000,3,28-04-202300:00:00,17032,Fuel,Paid,N,
1169,133,Platinum,300000,3,26-07-202300:00:00,38669,Electronics,Paid,N,
364,134,,,,,,,,Y,HighDebt
999,134,,,,,,,,Y,LowCIBIL
367,135,,,,,,,,Y,LowSalary
1530,135,,,,,,,,Y,LowCIBIL
1714,135,,,,,,,,Y,LowCIBIL
2064,136,,,,,,,,Y,UnstableEmployment
510,137,Silver,50000,1,23-06-202300:00:00,31233,Travel,Paid,N,
1352,138,,,,,,,,Y,HighDebt
1367,138,,,,,,,,Y,UnstableEmployment
1401,138,,,,,,,,Y,LowSalary
1882,138,,,,,,,,Y,LowSalary
347,139,Signature,600000,4,10-12-202300:00:00,32319,Fuel,Paid,N,
550,139,Platinum,300000,3,01-01-202400:00:00,13463,Electronics,Paid,N,
1117,139,Platinum,300000,3,13-04-202300:00:00,45427,Groceries,Paid,N,
1535,139,Platinum,300000,3,22-08-202300:00:00,37464,Fuel,Paid,N,
1707,139,Signature,600000,4,16-03-202300:00:00,13765,Fuel,Paid,N,
803,140,,,,,,,,Y,HighDebt
2018,140,,,,,,,,Y,LowSalary
2175,140,,,,,,,,Y,UnstableEmployment
491,141,Gold,100000,2,30-08-202300:00:00,24416,Travel,Paid,N,
640,141,Gold,100000,2,28-10-202300:00:00,39951,Travel,Paid,N,
1162,141,Gold,100000,2,19-10-202300:00:00,43613,Electronics,Paid,N,
1885,141,Platinum,300000,3,23-12-202300:00:00,38670,Fuel,Paid,N,
2105,143,Gold,100000,2,05-06-202300:00:00,2041,Electronics,Paid,N,
72,144,Signature,600000,4,25-08-202300:00:00,6166,Travel,Paid,N,
855,144,Platinum,300000,3,19-08-202300:00:00,4567,Fuel,Paid,N,
585,145,,,,,,,,Y,LowSalary
1052,145,,,,,,,,Y,HighDebt
1163,147,Platinum,300000,3,03-04-202300:00:00,40143,Groceries,Paid,N,
581,148,Platinum,300000,3,13-06-202300:00:00,25901,Dining,Paid,N,
1884,148,Platinum,300000,3,11-03-202300:00:00,4555,Groceries,Paid,N,
1276,149,Silver,50000,1,13-04-202300:00:00,26620,Dining,Paid,N,
1278,150,Gold,100000,2,01-06-202300:00:00,36391,Travel,Paid,N,
2164,150,Platinum,300000,3,28-06-202300:00:00,32569,Dining,Paid,N,
142,151,Platinum,300000,3,01-09-202300:00:00,3333,Fuel,Paid,N,
111,152,,,,,,,,Y,UnstableEmployment
1657,152,,,,,,,,Y,LowCIBIL
1761,152,,,,,,,,Y,LowSalary
2098,152,,,,,,,,Y,UnstableEmployment
756,153,,,,,,,,Y,LowCIBIL
1227,153,,,,,,,,Y,LowSalary
1953,153,,,,,,,,Y,LowSalary
437,155,,,,,,,,Y,UnstableEmployment
969,155,,,,,,,,Y,LowSalary
1565,155,,,,,,,,Y,LowSalary
225,156,,,,,,,,Y,LowCIBIL
46,157,Platinum,300000,3,04-10-202300:00:00,19327,Fuel,Paid,N,
674,157,Platinum,300000,3,07-11-202300:00:00,17982,Dining,Paid,N,
1653,157,Gold,100000,2,21-07-202300:00:00,42401,Electronics,Paid,N,
2198,157,Platinum,300000,3,19-02-202300:00:00,1886,Groceries,Paid,N,
780,158,,,,,,,,Y,UnstableEmployment
1072,158,,,,,,,,Y,LowSalary
1814,158,,,,,,,,Y,LowCIBIL
1880,158,,,,,,,,Y,HighDebt
2118,158,,,,,,,,Y,HighDebt
11,160,Gold,100000,2,22-06-202300:00:00,14231,Groceries,Paid,N,
102,160,Platinum,300000,3,18-04-202300:00:00,4380,Dining,Paid,N,
407,160,Gold,100000,2,26-01-202300:00:00,38226,Groceries,Paid,N,
985,160,Gold,100000,2,27-08-202300:00:00,35990,Dining,Paid,N,
2084,160,Gold,100000,2,07-10-202300:00:00,32876,Fuel,Paid,N,
234,161,Gold,100000,2,08-02-202300:00:00,48163,Travel,Paid,N,
1331,161,Gold,100000,2,20-07-202300:00:00,7294,Fuel,Paid,N,
42,162,,,,,,,,Y,UnstableEmployment
97,162,,,,,,,,Y,UnstableEmployment
312,162,,,,,,,,Y,LowSalary
404,162,,,,,,,,Y,HighDebt
579,162,,,,,,,,Y,UnstableEmployment
989,162,,,,,,,,Y,HighDebt
1043,162,,,,,,,,Y,UnstableEmployment
1708,162,,,,,,,,Y,HighDebt
1827,162,,,,,,,,Y,HighDebt
153,163,Platinum,300000,3,07-05-202300:00:00,29650,Dining,Paid,N,
1025,164,,,,,,,,Y,LowSalary
1371,164,,,,,,,,Y,LowCIBIL
1338,165,Gold,100000,2,10-05-202300:00:00,47031,Travel,Paid,N,
2165,165,Gold,100000,2,04-02-202300:00:00,15206,Groceries,Paid,N,
476,166,,,,,,,,Y,LowCIBIL
1516,166,,,,,,,,Y,HighDebt
1767,166,,,,,,,,Y,HighDebt
2076,166,,,,,,,,Y,LowCIBIL
21,167,,,,,,,,Y,HighDebt
612,167,,,,,,,,Y,UnstableEmployment
657,167,,,,,,,,Y,UnstableEmployment
1062,167,,,,,,,,Y,UnstableEmployment
2141,167,,,,,,,,Y,LowSalary
944,168,Platinum,300000,3,25-09-202300:00:00,37920,Fuel,Paid,N,
1123,168,Platinum,300000,3,19-12-202300:00:00,23054,Groceries,Paid,N,
680,169,Signature,600000,4,15-08-202300:00:00,16074,Groceries,Paid,N,
818,171,,,,,,,,Y,LowSalary
946,171,,,,,,,,Y,HighDebt
1736,171,,,,,,,,Y,UnstableEmployment
2074,171,,,,,,,,Y,LowCIBIL
2234,171,,,,,,,,Y,HighDebt
185,172,Gold,100000,2,25-03-202300:00:00,18816,Dining,Paid,N,
796,172,Platinum,300000,3,03-06-202300:00:00,6593,Electronics,Paid,N,
860,172,Gold,100000,2,23-04-202300:00:00,32817,Dining,Paid,N,
1582,172,Platinum,300000,3,22-07-202300:00:00,11476,Travel,Paid,N,
1901,172,Gold,100000,2,02-11-202300:00:00,12890,Dining,Paid,N,
1920,172,Platinum,300000,3,04-06-202300:00:00,41696,Electronics,Paid,N,
1985,173,,,,,,,,Y,HighDebt
794,174,,,,,,,,Y,LowCIBIL
1903,174,,,,,,,,Y,LowSalary
2226,174,,,,,,,,Y,LowSalary
306,175,,,,,,,,Y,LowCIBIL
1406,175,,,,,,,,Y,LowCIBIL
571,176,Platinum,300000,3,16-10-202300:00:00,13936,Groceries,Paid,N,
2072,176,Platinum,300000,3,10-07-202300:00:00,46728,Dining,Paid,N,
1104,177,Platinum,300000,3,13-11-202300:00:00,16135,Fuel,Paid,N,
1259,178,,,,,,,,Y,LowCIBIL
1856,178,,,,,,,,Y,LowSalary
836,179,,,,,,,,Y,LowCIBIL
1046,179,,,,,,,,Y,HighDebt
1510,179,,,,,,,,Y,HighDebt
661,180,,,,,,,,Y,UnstableEmployment
1033,180,,,,,,,,Y,UnstableEmployment
1357,180,,,,,,,,Y,LowSalary
2108,180,,,,,,,,Y,UnstableEmployment
1963,181,Gold,100000,2,05-12-202300:00:00,26893,Travel,Paid,N,
2002,181,Gold,100000,2,23-01-202300:00:00,29442,Groceries,Paid,N,
435,182,Platinum,300000,3,16-10-202300:00:00,38604,Fuel,Paid,N,
1122,182,Platinum,300000,3,29-06-202300:00:00,35341,Dining,Paid,N,
2209,182,Platinum,300000,3,26-03-202300:00:00,7354,Electronics,Paid,N,
1946,183,Platinum,300000,3,13-04-202300:00:00,13835,Fuel,Default,N,
2015,183,Platinum,300000,3,23-08-202300:00:00,10219,Travel,Paid,N,
956,184,Platinum,300000,3,01-01-202400:00:00,26128,Electronics,Paid,N,
962,184,Platinum,300000,3,24-01-202300:00:00,21453,Electronics,Paid,N,
1434,184,Signature,600000,4,05-09-202300:00:00,16182,Dining,Paid,N,
1836,184,Signature,600000,4,09-06-202300:00:00,25520,Dining,Paid,N,
